activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_requirement_count,lead_asset_count,support_asset_count,incidental_asset_count,reviewed_asset_types,lead_asset_types,support_asset_types,incidental_asset_types,total_estimated_hours_all_assets,dropped_candidate_count,dropped_generated_asset_types,has_multiple_assets,has_no_assets,review_source
1049,SA Water fire main installation,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",sa water fire main installation,1,1,3,1,0,2,excavator|compactor|telehandler,excavator,,compactor|telehandler,9.0,0,,True,False,manual_first_pass
1051,Ground floor column pour,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor column pour,1,1,2,1,1,0,concrete_pump|ewp,concrete_pump,ewp,,7.25,0,,True,False,manual_first_pass
1052,Ground floor strip columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor strip columns,1,1,2,1,0,1,ewp|forklift,ewp,,forklift,2.5,0,,True,False,manual_first_pass
1059,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",install services,2,2,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,5.0,0,,True,False,manual_first_pass
1061,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1062,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,1,0,0,concrete_pump,concrete_pump,,,8.0,1,telehandler,False,False,manual_first_pass
1064,Bubbledeck false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",bubbledeck false work,14,14,3,1,1,1,crane|telehandler|forklift,crane,telehandler,forklift,73.5,0,,True,False,manual_first_pass
1070,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",install services,3,3,3,1,0,2,telehandler|hoist|forklift,telehandler,,hoist|forklift,7.5,0,,True,False,manual_first_pass
1072,Concrete pour floor slab Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1073,Concrete pour floor slab Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
1076,Strip slab edge and set downs - tidy up,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",strip slab edge and set downs - tidy up,1,1,2,1,0,1,ewp|forklift,ewp,,forklift,2.0,0,,True,False,manual_first_pass
1081,Jump the stretcher stairs,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the stretcher stairs,3,3,1,1,0,0,crane,crane,,,3.0,0,,False,False,manual_first_pass
1082,Jump the Hoist,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",jump the hoist,1,1,2,1,0,1,hoist|crane,hoist,,crane,7.5,0,,True,False,manual_first_pass
1087,Pour concrete columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 2 ~ 2,200m2 CARPARK > Zone A",pour concrete columns,2,2,2,1,0,1,concrete_pump|telehandler,concrete_pump,,telehandler,8.5,0,,True,False,manual_first_pass
