activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_candidate_count,review_priority,outlier_flags,candidate_slot,generated_asset_type,generated_confidence,generated_role,generated_estimated_hours,generated_profile_shape,reviewed_asset_type,reviewed_confidence,reviewed_confidence_tier,reviewed_role,reviewed_estimated_hours,reviewed_profile_shape,reviewed_is_required,label_estimated_hours,review_status,changed_fields,review_source
1049,SA Water fire main installation,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",sa water fire main installation,1,1,3,high,,1,excavator,0.75,lead,7.0,single_day,excavator,0.75,high,lead,7.0,single_day,True,7.0,accepted,,manual_first_pass
1049,SA Water fire main installation,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",sa water fire main installation,1,1,3,high,,2,compactor,0.25,incidental,1.0,single_day,compactor,0.75,high,incidental,1.0,single_day,True,1.0,corrected,confidence,manual_first_pass
1049,SA Water fire main installation,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",sa water fire main installation,1,1,3,high,,3,telehandler,0.2,incidental,1.0,single_day,telehandler,0.75,high,incidental,1.0,single_day,True,1.0,corrected,confidence,manual_first_pass
1051,Ground floor column pour,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor column pour,1,1,2,high,,1,concrete_pump,0.95,lead,6.5,single_day,concrete_pump,0.95,high,lead,6.5,single_day,True,6.5,accepted,,manual_first_pass
1051,Ground floor column pour,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor column pour,1,1,2,high,,2,telehandler,0.2,incidental,0.5,single_day,ewp,0.75,high,support,0.75,single_day,True,0.75,corrected,type|role|confidence|estimated_hours,manual_first_pass
1052,Ground floor strip columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor strip columns,1,1,2,high,,1,telehandler,0.3,lead,1.5,single_day,ewp,0.8,high,lead,1.5,single_day,True,1.5,corrected,type|confidence,manual_first_pass
1052,Ground floor strip columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor strip columns,1,1,2,high,,2,forklift,0.25,incidental,0.5,single_day,forklift,0.5,medium,incidental,1.0,single_day,True,1.0,corrected,confidence|estimated_hours,manual_first_pass
1059,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",install services,2,2,3,high,,1,telehandler,0.25,lead,2.5,uniform,telehandler,0.25,low,lead,2.5,uniform,True,2.5,accepted,,manual_first_pass
1059,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",install services,2,2,3,high,,2,hoist,0.2,incidental,1.5,uniform,hoist,0.2,low,incidental,1.5,uniform,True,1.5,accepted,,manual_first_pass
1059,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",install services,2,2,3,high,,3,forklift,0.15,incidental,1.0,uniform,forklift,0.15,low,incidental,1.0,uniform,True,1.0,accepted,,manual_first_pass
