activity_number,activity_name,activity_hierarchy,activity_name_normalized,duration_days,profile_days_used,asset_requirement_count,review_source,crane_required,crane_confidence,crane_role,crane_estimated_hours,crane_profile_shape,hoist_required,hoist_confidence,hoist_role,hoist_estimated_hours,hoist_profile_shape,loading_bay_required,loading_bay_confidence,loading_bay_role,loading_bay_estimated_hours,loading_bay_profile_shape,ewp_required,ewp_confidence,ewp_role,ewp_estimated_hours,ewp_profile_shape,concrete_pump_required,concrete_pump_confidence,concrete_pump_role,concrete_pump_estimated_hours,concrete_pump_profile_shape,excavator_required,excavator_confidence,excavator_role,excavator_estimated_hours,excavator_profile_shape,forklift_required,forklift_confidence,forklift_role,forklift_estimated_hours,forklift_profile_shape,telehandler_required,telehandler_confidence,telehandler_role,telehandler_estimated_hours,telehandler_profile_shape,compactor_required,compactor_confidence,compactor_role,compactor_estimated_hours,compactor_profile_shape
1049,SA Water fire main installation,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",sa water fire main installation,1,1,3,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.75,lead,7.0,single_day,False,,,0.0,,True,0.75,incidental,1.0,single_day,True,0.75,incidental,1.0,single_day
1051,Ground floor column pour,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor column pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.75,support,0.75,single_day,True,0.95,lead,6.5,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1052,Ground floor strip columns,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",ground floor strip columns,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.8,lead,1.5,single_day,False,,,0.0,,False,,,0.0,,True,0.5,incidental,1.0,single_day,False,,,0.0,,False,,,0.0,
1059,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",install services,2,2,3,manual_first_pass,False,,,0.0,,True,0.2,incidental,1.5,uniform,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.15,incidental,1.0,uniform,True,0.25,lead,2.5,uniform,False,,,0.0,
1061,Concrete pour floor slab Zone [A] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1062,Concrete pour floor slab Zone [A] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone A",concrete pour floor slab zone pour,1,1,1,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,
1064,Bubbledeck false work,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",bubbledeck false work,14,14,3,manual_first_pass,True,0.65,lead,35.0,staged,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.3,incidental,11.0,inverse_bell,True,0.55,support,27.5,front_loaded,False,,,0.0,
1070,Install services,"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",install services,3,3,3,manual_first_pass,False,,,0.0,,True,0.2,incidental,2.0,uniform,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.15,incidental,1.5,uniform,True,0.25,lead,4.0,uniform,False,,,0.0,
1072,Concrete pour floor slab Zone [B] pour (1),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
1073,Concrete pour floor slab Zone [B] pour (2),"ON SITE WORKS > SUPERSTRUCTURE > LEVEL 1 ~ 2,200m2 CARPARK > Zone B",concrete pour floor slab zone pour,1,1,2,manual_first_pass,False,,,0.0,,False,,,0.0,,False,,,0.0,,False,,,0.0,,True,0.95,lead,8.0,single_day,False,,,0.0,,False,,,0.0,,True,0.2,incidental,0.5,single_day,False,,,0.0,
